Tag
AccountsAndFinancingReceivableAllowanceForCreditLoss
AccountsPayableAndAccruedLiabilitiesDisclosureTextBlock
AccountsPayableCurrent
AccountsReceivableAllowanceForCreditLossFx
AccountsReceivableAllowanceForCreditLossTableTextBlock
AccountsReceivableGrossCurrent
AccountsReceivableNetCurrent
AccruedIncomeTaxesCurrent
AccruedTaxesAndLicensesCurrent
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
AccumulatedOtherComprehensiveIncomeLossNetOfTax
AdditionalGamingAreaToBePurchased
AdditionalPaidInCapital
AdjustedPropertyEbitda
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation
AdjustmentsToAdditionalPaidInCapitalPurchaseOfCappedCallOptions
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue
AdvertisingCostsPolicyTextBlock
AdvertisingExpense
AllocatedShareBasedCompensationExpense
AllowanceForDoubtfulAccountsReceivable
AllowanceForDoubtfulAccountsReceivableCurrent
AllowanceForDoubtfulAccountsReceivableRecoveries
AllowanceForDoubtfulAccountsReceivableWriteOffs
AmendmentFlag
AmortizationOfFinancingCostsAndDiscounts
AmortizationOfIntangibleAssets
AmortizationOfLeaseholdInterestsInLand
AnnualHandoverFeeFor2025
AnnualHandoverFeeFor2026Through2029
AnnualHandoverFeeFor2026Through2032
AnnualHandoverFeeFor2030AndThereafter
AnnualHandoverFeePaid
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
AreaOfRealEstateProperty
Assets
AssetsCurrent
AuditorFirmId
AuditorLocation
AuditorName
BankGuaranteeRequiredForTermOfConcession
Bankersguarantee
BusinessCombinationConsiderationTransferred1
CashAndCashEquivalentsAtCarryingValue
CashAndCashEquivalentsFairValueDisclosure
CashAndCashEquivalentsRestrictedCashAndCashEquivalentsPolicy
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
CashEquivalentsAtCarryingValue
CashFlowsFromFinancingActivitiesRelatedToLongTermDebtAndFinanceLeaseObligationsTableTableTextBlock
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations
CityAreaCode
CommitmentsAndContingencies
CommitmentsAndContingenciesDisclosureTextBlock
CommonStockDividendsPerShareCashPaid
CommonStockDividendsPerShareDeclared
CommonStockParOrStatedValuePerShare
CommonStockSharesAuthorized
CommonStockSharesIssued
CommonStockSharesOutstanding
CommonStockValue
CompensationRelatedCostsPolicyTextBlock
